date,state,value
2022-04-11,New York State,4.195832426303118
2022-04-11,New York City,4.093495050051823
2022-04-18,Central Atlantic,4.1548974758026
2022-04-18,New England,4.083261312426694
2022-04-18,New York State,4.1548974758026
2022-04-18,New York City,4.062793837176435
2022-04-25,Central Atlantic,4.216299901553378
2022-04-25,New England,4.1548974758026
2022-04-25,New York State,4.216299901553378
2022-04-25,New York City,4.134430000552341
2022-05-02,Central Atlantic,4.349146949162956
2022-05-02,New England,4.24729339063455
2022-05-02,New York State,4.338961593310116
2022-05-02,New York City,4.277849458193072
2022-05-09,Central Atlantic,4.552854066219769
2022-05-09,New England,4.440815151838523
2022-05-09,New York State,4.542668710366929
2022-05-09,New York City,4.542668710366929
2022-05-16,Central Atlantic,4.736190471570901
2022-05-16,New England,4.675078336453857
2022-05-16,New York State,4.817673318393626
2022-05-16,New York City,4.766746539129422
2022-05-23,Central Atlantic,4.86860009765783
2022-05-23,New England,4.787117250835104
